sub,ses,MPM,method,comparand,voxels,nonfinite
1,1,A,sa,nosa,4615580,0
1,1,R1,sa,nosa,4615580,0
1,1,A,sa,exact,4615580,0
1,1,R1,sa,exact,4615580,2
1,1,A,nosa,exact,4615580,0
1,1,R1,nosa,exact,4615580,3
1,2,A,sa,nosa,4605500,0
1,2,R1,sa,nosa,4605500,0
1,2,A,sa,exact,4605500,0
1,2,R1,sa,exact,4605500,0
1,2,A,nosa,exact,4605500,0
1,2,R1,nosa,exact,4605500,0
2,1,A,sa,nosa,4954362,0
2,1,R1,sa,nosa,4954362,0
2,1,A,sa,exact,4954362,0
2,1,R1,sa,exact,4954362,1
2,1,A,nosa,exact,4954362,0
2,1,R1,nosa,exact,4954362,1
2,2,A,sa,nosa,5205031,0
2,2,R1,sa,nosa,5205031,0
2,2,A,sa,exact,5205031,0
2,2,R1,sa,exact,5205031,6
2,2,A,nosa,exact,5205031,0
2,2,R1,nosa,exact,5205031,8
3,1,A,sa,nosa,4386773,0
3,1,R1,sa,nosa,4386773,0
3,1,A,sa,exact,4386773,0
3,1,R1,sa,exact,4386773,0
3,1,A,nosa,exact,4386773,0
3,1,R1,nosa,exact,4386773,0
3,2,A,sa,nosa,4379876,0
3,2,R1,sa,nosa,4379876,0
3,2,A,sa,exact,4379876,0
3,2,R1,sa,exact,4379876,0
3,2,A,nosa,exact,4379876,0
3,2,R1,nosa,exact,4379876,0
4,1,A,sa,nosa,4243339,0
4,1,R1,sa,nosa,4243339,0
4,1,A,sa,exact,4243339,0
4,1,R1,sa,exact,4243339,0
4,1,A,nosa,exact,4243339,0
4,1,R1,nosa,exact,4243339,0
4,2,A,sa,nosa,3886374,0
4,2,R1,sa,nosa,3886374,0
4,2,A,sa,exact,3886374,0
4,2,R1,sa,exact,3886374,0
4,2,A,nosa,exact,3886374,0
4,2,R1,nosa,exact,3886374,0
5,1,A,sa,nosa,4980910,0
5,1,R1,sa,nosa,4980910,0
5,1,A,sa,exact,4980910,0
5,1,R1,sa,exact,4980910,0
5,1,A,nosa,exact,4980910,0
5,1,R1,nosa,exact,4980910,0
5,2,A,sa,nosa,4403461,0
5,2,R1,sa,nosa,4403461,0
5,2,A,sa,exact,4403461,0
5,2,R1,sa,exact,4403461,0
5,2,A,nosa,exact,4403461,0
5,2,R1,nosa,exact,4403461,0
6,1,A,sa,nosa,4692678,0
6,1,R1,sa,nosa,4692678,0
6,1,A,sa,exact,4692678,0
6,1,R1,sa,exact,4692678,0
6,1,A,nosa,exact,4692678,0
6,1,R1,nosa,exact,4692678,0
6,2,A,sa,nosa,4848679,0
6,2,R1,sa,nosa,4848679,0
6,2,A,sa,exact,4848679,0
6,2,R1,sa,exact,4848679,0
6,2,A,nosa,exact,4848679,0
6,2,R1,nosa,exact,4848679,0
